Month of DAY|Site ID(Office)|Site Name|Year of DAY|Calcul 1|valeur|Difference in Count of sheet1
February|13162|BELLE PLAINE|2020|good|99.97%|
February|13162|BELLE PLAINE|2021|good|100.00%|
February|13164|ROUTA CALVAIRE|2020|good|99.99%|
February|13164|ROUTA CALVAIRE|2021|good|100.00%|
February|13167|LA BOUCAN|2020|good|100.00%|
February|13167|LA BOUCAN|2021|good|100.00%|
February|13168|WONCHE|2020|good|99.99%|
February|13168|WONCHE|2021|good|100.00%|
February|13169|BAGATELLE|2020|good|100.00%|
February|13169|BAGATELLE|2021|good|100.00%|
February|13170|LA RETRAITE|2020|good|99.98%|
February|13170|LA RETRAITE|2021|good|100.00%|
February|13177|BONFILS BOIS SEC|2020|acceptable|92.91%|
February|13177|BONFILS BOIS SEC|2021|acceptable|97.17%|
February|13178|SAINTE MARIE|2020|good|100.00%|
February|13178|SAINTE MARIE|2021|acceptable|99.59%|
February|13179|MORAVIE CAMBREFORT|2020|good|100.00%|
February|13179|MORAVIE CAMBREFORT|2021|acceptable|99.94%|
February|13187|POINTE FERRY|2020|good|100.00%|
February|13187|POINTE FERRY|2021|good|100.00%|
February|13188|MARQUISAT CACOVILLE|2020|good|100.00%|
February|13188|MARQUISAT CACOVILLE|2021|good|100.00%|
February|13191|CAMP LA JAILLE|2020|good|100.00%|
February|13191|CAMP LA JAILLE|2021|good|100.00%|
February|13194|PONT DE L'ALLIANCE|2020|good|100.00%|
February|13194|PONT DE L'ALLIANCE|2021|good|99.99%|
February|13404|POIRIER|2020|good|100.00%|
February|13404|POIRIER|2021|good|100.00%|
February|13405|LOUISIANE|2020|good|100.00%|
February|13405|LOUISIANE|2021|good|100.00%|
February|13407|WILLIAM|2020|good|100.00%|
February|13407|WILLIAM|2021|good|100.00%|
February|13413|BRION|2020|good|99.99%|
February|13413|BRION|2021|good|99.98%|
February|13420|BEAUFOND|2020|acceptable|99.93%|
February|13420|BEAUFOND|2021|good|100.00%|
February|13425|SAINT CHARLES|2020|good|100.00%|
February|13425|SAINT CHARLES|2021|good|100.00%|
February|13426|BLANCHET|2020|acceptable|99.87%|
February|13426|BLANCHET|2021|good|100.00%|
February|13428|CANTAMERLE|2020|good|100.00%|
February|13428|CANTAMERLE|2021|good|99.98%|
February|13437|BORRICAUD|2020|good|100.00%|
February|13437|BORRICAUD|2021|good|100.00%|
February|13438|DUBEDOU|2020|good|100.00%|
February|13438|DUBEDOU|2021|good|100.00%|
February|13446|ANSE BERTRAND|2020|acceptable|99.93%|
February|13446|ANSE BERTRAND|2021|good|100.00%|
February|13448|BASSE TERRE CENTRE|2020|good|100.00%|
February|13448|BASSE TERRE CENTRE|2021|good|99.98%|
February|13456|MONTERAN TDF - ST. PHY|2020|good|100.00%|
February|13456|MONTERAN TDF - ST. PHY|2021|good|100.00%|
February|13459|MONTAUBAN|2020|good|99.98%|
February|13459|MONTAUBAN|2021|acceptable|99.93%|
February|13460|BOIS JOLAN|2020|good|100.00%|
February|13460|BOIS JOLAN|2021|acceptable|99.87%|
February|13462|FOND CABRE|2020|good|100.00%|
February|13462|FOND CABRE|2021|good|100.00%|
February|13464|GOSIER CENTRE|2020|good|100.00%|
February|13464|GOSIER CENTRE|2021|good|100.00%|
February|13465|POINTE-A-PITRE CENTRE|2020|good|100.00%|
February|13465|POINTE-A-PITRE CENTRE|2021|good|100.00%|
February|13467|FOND BUDAN|2020|acceptable|99.86%|
February|13467|FOND BUDAN|2021|acceptable|99.95%|
February|13472|AUGUSTE ROMAGE|2020|good|100.00%|
February|13472|AUGUSTE ROMAGE|2021|good|100.00%|
